id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47916846,Private room in Gracia,209300603,Zineb,Gràcia,la Vila de Gràcia,41.39964,2.15225,Private room,19,60,0,,,1,0,0,
47920123,Amazing views to the sea in Barceloneta Mar.,224618386,EnjoyBcn,Ciutat Vella,la Barceloneta,41.37583,2.19098,Entire home/apt,68,32,0,,,21,251,0,
47921001,Large room for 4 peole near Sagrada Familia,385593314,Serhii,Eixample,la Sagrada Família,41.41011,2.17775,Private room,193,1,21,2021-03-16,2.55,4,34,21,Exempt
47932207,Holiday with Terrace in Sant Antoni,336522213,Weflating,Eixample,Sant Antoni,41.37618,2.16317,Entire home/apt,129,2,3,2021-10-01,3,6,91,3,HUTB-036805
47934224,BOSCO-Lovely Terrace 2bed Apt Diagonal/Les Corts,1435464,Jaume,Les Corts,les Corts,41.38401,2.13678,Entire home/apt,100,32,0,,,20,284,0,
47935259,OLA LIVING PETRITXOL BARRI GÒTIC,33278356,Ola,Ciutat Vella,el Barri Gòtic,41.38402,2.17151,Entire home/apt,156,1,0,,,30,301,0,HUTB-014546
47947242,Amazing 2 bedroom flat right in Eixample parking,265193861,Joaquim,Eixample,la Nova Esquerra de l'Eixample,41.38089,2.14737,Entire home/apt,130,7,2,2021-07-27,0.94,119,46,2,HUTB-003152
47947628,The Balcony Apartment on Valencia Street,582060,Fernando,Eixample,la Dreta de l'Eixample,41.39698,2.17032,Entire home/apt,85,3,11,2021-09-20,2.12,23,225,11,HUTB-001302
47948253,Grande I Apartment on Valencia Street,582060,Fernando,Eixample,la Dreta de l'Eixample,41.39845,2.17145,Entire home/apt,137,2,9,2021-09-26,1.36,23,223,9,HUTB-001300
47951526,Confortable apartamento cerca de Sagrada Familia,16473035,Eloy,Eixample,la Sagrada Família,41.40292,2.17636,Entire home/apt,91,31,0,,,3,342,0,
47953410,Habitación de Matrimonio Interior Muy Tranquila.,245273442,Marcelo,Ciutat Vella,el Raval,41.38084,2.17085,Private room,39,2,14,2021-09-10,2.33,14,358,14,Exempt
47953416,Habitación con Litera interior y tranquila.,316524198,Rodrigo,Ciutat Vella,el Raval,41.38113,2.16951,Private room,37,2,19,2021-10-01,5.09,1,347,19,Exempt
47953672,"Gran Habitación de 22 m2,  Cerca Ramblas",245273442,Marcelo,Ciutat Vella,el Raval,41.37983,2.16975,Private room,50,2,16,2021-10-04,2.54,14,351,16,Exempt
47970185,"Habitación baño privado, Sagrada Família",386695668,Joan,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40548,2.16843,Private room,15,31,0,,,2,270,0,
47984242,Tyche Apartment Barcelona,370718107,Alexandre,Eixample,Sant Antoni,41.3804,2.15917,Entire home/apt,206,1,12,2021-07-25,6.00,9,288,12,HUTB-003393
47990586,Habitación de 1 cama,356610625,Tati,Nou Barris,el Turó de la Peira,41.43387,2.17057,Private room,20,1,4,2021-05-17,0.57,3,292,4,Exempt
48004880,Central 2 bedroom apartment in Eixample,265193861,Joaquim,Eixample,la Nova Esquerra de l'Eixample,41.38103,2.14967,Entire home/apt,150,7,0,,,119,39,0,hutb-003123
48005011,"Apartamento duplex con terraza y sol,metro st L7",187494825,Gerard,Sants-Montjuïc,Sants,41.37134,2.13205,Entire home/apt,38,30,3,2021-03-31,0.74,9,342,3,Exempt
48034609,Soleado apartamento en zona alta Sagrada Familia,9478280,Simona & Pia,Horta-Guinardó,el Baix Guinardó,41.41146,2.17028,Entire home/apt,30,32,1,2021-04-01,0.15,45,139,1,
48035923,Twin room confortable with natural light,373330392,Lihsa,Les Corts,Pedralbes,41.38928,2.12678,Private room,81,1,0,,,2,322,0,HB-003272
48035929,Apartamento (Loft) Rambla Boqueria 15 min beach,32030896,Dani,Ciutat Vella,el Raval,41.38189,2.17137,Entire home/apt,44,1,21,2021-07-22,3.75,3,134,21,HUTB-234126
48049018,Lightly flat in best Gracia area in Barcelona,1310304,Luis,Gràcia,la Vila de Gràcia,41.39926,2.15946,Entire home/apt,39,32,0,,,64,224,0,
48052895,BARCELONETA PREMIUM - Alojate a 2 cuadras del mar!,106448328,Melisa,Ciutat Vella,la Barceloneta,41.38172,2.18974,Entire home/apt,110,32,0,,,1,320,0,
48062632,Habitación cerca Diagonal Mar,370997808,Franz,Sant Martí,el Besòs i el Maresme,41.41372,2.21562,Private room,15,5,4,2021-03-05,0.67,1,287,4,Exempt
48066078,Habitación petit en Sagrada Familia,13013003,German,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40482,2.16873,Private room,15,31,0,,,3,281,0,
48066709,Acogedora habitación doble,2053474,Laura,Sants-Montjuïc,la Marina de Port,41.36389,2.13842,Private room,20,30,0,,,1,0,0,
48067042,Un lugar  para  relajarte y Meditar también.,387534581,Eleonora,Eixample,Sant Antoni,41.37512,2.15559,Private room,20,1,31,2021-08-31,4.08,1,259,31,Exempt
48072454,Family friendly summer fresh apartment & terrace,387595193,Standbyme,Eixample,l'Antiga Esquerra de l'Eixample,41.38869,2.16001,Entire home/apt,105,4,13,2021-09-09,2.12,4,144,13,HUTB-003232
48076655,Sagrada Room,264905862,Joerg,Ciutat Vella,el Raval,41.3833,2.16464,Private room,24,32,0,,,6,181,0,
48079619,Apartment Ideal Badal,109973725,Ideal,Sants-Montjuïc,la Bordeta,41.36662,2.13365,Entire home/apt,193,1,0,,,1,0,0,hutb-005951
48085223,Marvellous room in Barcelona!!,8061721,Miguel,Sant Martí,el Parc i la Llacuna del Poblenou,41.39062,2.18391,Private room,22,30,0,,,1,59,0,
